Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3,4,3,vacant,1960,dhaka,39000000.00,"Gulshan 1, Gulshan"
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3,3,1,vacant,1705,dhaka,16900000.00,"Lake Circus Road, Kalabagan"
1370 square feet apartment is ready to sale in Shukrabad,3,3,6,vacant,1370,dhaka,12500000.00,"Shukrabad, Dhanmondi"
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3,3,4,vacant,2125,dhaka,20000000.00,"Block L, Bashundhara R-A"
Buy This 2687 Square Feet Flat In The Nice Area Of Banani,3,3,4,vacant,2687,dhaka,47500000.00,"Road No 25, Banani"
Modern 1150 Sq Ft Flat For Sale In Badda,3,3,3,vacant,1150,dhaka,8800000.00,"Middle Badda, Badda"
"2119 Sq Ft Apartment For Sale In Bashundhara R-a, Near North South University",3,3,8,vacant,2119,dhaka,19000000.00,"Block B, Bashundhara R-A"
Live A Restful Life In This 2318 Square Feet Flat For Sale In Bashundhara R-a,4,4,2,vacant,2318,dhaka,23000000.00,"Block D, Bashundhara R-A"
Worthy 1397 Sq Ft Nice Flat Is Ready For Sale At Demra,3,3,8,vacant,1397,dhaka,8000000.00,"Matuail, Demra"
Offering You 2400 Sq Ft Flat For Sale In Aftab Nagar,3,3,1,vacant,2400,dhaka,20000000.00,"Block H, Aftab Nagar"
1300 Square Feet Residential Flat With Nicely Built Rooms Is Up For Sale In Shyampur,3,3,3,vacant,1300,dhaka,8000000.00,"West Dolairpar, Shyampur"
Nice 1300 Sq Ft Flat Is Available For Sale In Shyampur,3,3,4,vacant,1300,dhaka,8000000.00,"West Dolairpar, Shyampur"
1300 Sq Ft Flat Is Now Vacant For Sale In Shyampur,3,3,6,vacant,1300,dhaka,8000000.00,"West Dolairpar, Shyampur"
1900 Sq Ft Residential Duplex Property Is Now For Sale Which Is In Bashundhara R-a,3,3,1,vacant,1900,dhaka,21000000.00,"Block B, Bashundhara R-A"
Property In Aftab Nagar– 1500 Sq Ft Flat For Sale,3,3,5,vacant,1500,dhaka,11000000.00,"Block H, Aftab Nagar"
Uttara Is Offering You A 1450 Sq Ft Residential Apartment Up For Sale,3,3,3,vacant,1450,dhaka,9500000.00,"Sector 10, Uttara"
Offering you 750 SQ FT flat for sale in Uttara 10,2,2,2,vacant,750,dhaka,6200000.00,"Sector 10, Uttara"
Visit This 2343 Sq Ft Flat For Sale In Uttara Sector 6.,3,3,4,vacant,2343,dhaka,22000000.00,"Sector 6, Uttara"
Vacant Now | 1185 Sq Ft | Three Bedrooms Apt. | Ready To Move,3,3,5,vacant,1185,dhaka,11000000.00,"Lake Circus Road, Kalabagan"
"In A Great Location Of Bashundhara R-a, Block H, 1610 Sq Ft Apartment Is Up For Sale",3,3,4,vacant,1610,dhaka,13100000.00,"Block H, Bashundhara R-A"
"You can buy this lovely apartment of 2180 sq ft to live a relaxed life at Bashundhara R-A, Block J",4,4,7,vacant,2180,dhaka,17500000.00,"Block J, Bashundhara R-A"
"Wonderful Flat Covering An Area Of 3,650 Sq Ft Is Available For Sale In Gulshan 2",4,4,2,vacant,3650,dhaka,78000000.00,"Gulshan 2, Gulshan"
"Large 5000 Sq Ft Commercial Space For Sale In Free School Street Road, Kathalbagan",,,9,vacant,5000,dhaka,110000000.00,"Free School Street, Kathalbagan"
2700 Square Feet Apartment For Sale In Gulshan 1,3,3,3,vacant,2700,dhaka,55000000.00,"Gulshan 1, Gulshan"
Strongly Constructed 1175 Sq Ft Home Is Available To Sale In Baitul Aman Housing Society,3,2,2,vacant,1175,dhaka,8300000.00,"Baitul Aman Housing Society, Adabor"
Flat For Sale In Mirpur Section 6 Near Mosque,2,2,1,vacant,650,dhaka,3100000.00,"Section 6, Mirpur"
"1331 Sq Ft Apartment Is Now Available For Sale In Sector 4, Uttara",3,4,1,vacant,1331,dhaka,16000000.00,"Sector 4, Uttara"
"2 Bedrooms Apartment For Sale In Nobodoy Housing Society, Mohammadpur",2,2,4,vacant,900,dhaka,4500000.00,"Nobodoy Housing Society, Mohammadpur"
"1350 Sq Ft Flat Sale In Free School Street Road, Kathalbagan",3,3,2,vacant,1350,dhaka,14200000.00,"Free School Street, Kathalbagan"
Comfortable Flat Is Up For Sale In Pallabi Nearby City Club Ground,3,3,5,vacant,1200,dhaka,7500000.00,"Pallabi, Mirpur"
"Picture Yourself, Residing In This Well Constructed And Planned 2045 Sq Ft Apartment In Uttara-7, For Sale",3,3,1,vacant,2045,dhaka,23625000.00,"Sector 7, Uttara"
Offering 1500 Sq Ft Flat For Sale In Niketan,3,3,1,vacant,1500,dhaka,25000000.00,"Block C, Niketan"
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3,3,4,vacant,1410,dhaka,13800000.00,"Vashani Goli, Shantinagar"
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2,2,5,vacant,650,dhaka,4000000.00,"Gandaria, Sutrapur"
An Apartment For Sale Is All Set For You To Settle In Mohammadpur Close To Dhaka Udyan Government College,3,3,8th,vacant,1100,dhaka,4700000.00,"Dhaka Uddan, Mohammadpur"
A Flat With All Facilities Is Up For Sale At West Shewrapara Near Baitul Arafa Masjid,3,2,2,vacant,1220,dhaka,5000000.00,"West Shewrapara, Mirpur"
1240 Square Feet Flat For Sale In The Location Of Shah Ali Bag,3,3,5,vacant,1240,dhaka,7320000.00,"Section 1, Mirpur"
1700 Sq.Ft. Apartment For Sale In Dakshin Khan Close To Nogoriabari Mohammadia Jame Masjid,3,3,5,vacant,1700,dhaka,6500000.00,"South Chalabon, Dakshin Khan"
Flat For Sale Covering A Beautiful Area In West Agargaon Nearby Momataj Memorial High School,3,3,1,vacant,1400,dhaka,8500000.00,"West Agargaon, Agargaon"
Residential Apartment Is For Sale In Mirpur Nearby Baitul Jannah Jame Masjid And Madrasha Complex,3,3,1,vacant,1050,dhaka,4700000.00,"Section 6, Mirpur"
A Commercial Building Is Up For Sale Which Is Located In Mirpur Nearby Mirpur Adhunik Hospital,,,6,vacant,16000,dhaka,120000000.00,"Section 12, Mirpur"
Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3,3,8,vacant,1240,dhaka,8700000.00,"Dakkhin Paikpara, Mirpur"
1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3,3,1,vacant,1504,dhaka,7100000.00,Keraniganj
Find 750 Sq Ft Flat Available For Sale In Kadamtali,2,2,5,vacant,750,dhaka,4000000.00,"Kadamtali, Shyampur"
"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2,2,7,vacant,750,dhaka,3500000.00,"Kadamtali, Shyampur"
2.75 Katha Residential Plot For Sale In Mirpur-11,,,,vacant,1980,dhaka,18000000.00,"Section 11, Mirpur"
Worthy 1585 SQ FT residence is for sale at Aftab Nagar,3,5,2,vacant,1585,dhaka,14000000.00,"Block C, Aftab Nagar"
1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3,3,8,vacant,1485,dhaka,13200000.00,"Jahuri Moholla, Mohammadpur"
